City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
119,Sungaipenuh,ID,2022-02-13 22:21:58,-2.0833,101.3833,61.75,91,81,2.84,broken clouds,0.0,0.0
120,Warri,NG,2022-02-13 22:23:56,5.5167,5.75,80.26,80,83,4.83,broken clouds,0.0,0.0
121,Minot,US,2022-02-13 22:23:51,48.2325,-101.2963,36.59,69,100,18.41,overcast clouds,0.0,0.0
122,Richards Bay,ZA,2022-02-13 22:21:39,-28.783,32.0377,75.87,92,70,5.08,broken clouds,0.0,0.0
123,Fuerte Olimpo,PY,2022-02-13 22:27:10,-21.0415,-57.8738,94.93,29,88,5.66,overcast clouds,0.0,0.0
124,Inongo,CD,2022-02-13 22:21:43,-1.95,18.2667,74.8,86,98,6.31,overcast clouds,0.0,0.0
125,Puerto Ayora,EC,2022-02-13 22:20:20,-0.7393,-90.3518,82.36,89,90,4.0,overcast clouds,0.0,0.0
126,Bonavista,CA,2022-02-13 22:20:17,48.6499,-53.1147,37.11,76,100,19.06,overcast clouds,0.0,0.0
127,Gazli,UZ,2022-02-13 22:27:10,40.1333,63.45,39.79,53,51,10.0,broken clouds,0.0,0.0
128,Saldanha,ZA,2022-02-13 22:19:25,-33.0117,17.9442,68.05,91,0,20.56,clear sky,0.0,0.0
129,Hithadhoo,MV,2022-02-13 22:20:19,-0.6,73.0833,82.22,72,83,11.03,broken clouds,0.0,0.0
130,Vrangel,RU,2022-02-13 22:27:11,42.7297,133.0839,15.76,53,99,6.44,overcast clouds,0.0,0.0
131,Herat,AF,2022-02-13 22:26:11,34.5,62.0,37.51,76,0,11.25,clear sky,0.0,0.0
132,Sesvete,HR,2022-02-13 22:27:11,45.8311,16.1164,38.66,76,0,0.0,clear sky,0.0,0.0
133,Aksu,CN,2022-02-13 22:20:31,41.1231,80.2644,28.08,40,11,5.28,few clouds,0.0,0.0
134,Nikolskoye,RU,2022-02-13 22:20:45,59.7035,30.7861,33.71,89,100,12.71,overcast clouds,0.0,0.0
135,Progreso,MX,2022-02-13 22:21:15,21.2833,-89.6667,74.1,70,80,17.47,broken clouds,0.0,0.0
136,Ilulissat,GL,2022-02-13 22:21:12,69.2167,-51.1,15.82,79,40,25.32,scattered clouds,0.0,0.0
137,Saint-Philippe,RE,2022-02-13 22:20:09,-21.3585,55.7679,78.39,88,40,11.01,scattered clouds,0.0,0.0
138,Daru,PG,2022-02-13 22:27:12,-9.0763,143.2092,81.34,77,33,10.11,scattered clouds,0.0,0.0
139,Bolivar,US,2022-02-13 22:24:46,37.6145,-93.4105,41.13,38,0,5.99,clear sky,0.0,0.0
140,North Platte,US,2022-02-13 22:27:12,41.1239,-100.7654,60.08,20,0,9.22,clear sky,0.0,0.0
141,Zhigansk,RU,2022-02-13 22:20:12,66.7697,123.3711,-37.1,100,55,1.68,broken clouds,0.0,0.0
142,Niquero,CU,2022-02-13 22:27:12,20.0431,-77.5828,80.67,68,36,6.38,scattered clouds,0.0,0.0
143,Alofi,NU,2022-02-13 22:21:05,-19.0595,-169.9187,84.09,70,100,9.22,overcast clouds,0.0,0.0
144,Port Elizabeth,ZA,2022-02-13 22:20:28,-33.918,25.5701,68.29,88,75,14.97,broken clouds,0.0,0.0
145,Tezu,IN,2022-02-13 22:27:12,27.9167,96.1667,52.41,43,0,5.06,clear sky,0.0,0.0
146,Ancud,CL,2022-02-13 22:20:49,-41.8697,-73.8203,77.23,75,13,4.68,few clouds,0.0,0.0
147,Cherskiy,RU,2022-02-13 22:20:31,68.75,161.3,-23.26,97,98,7.85,overcast clouds,0.0,0.0
148,Sulangan,PH,2022-02-13 22:27:13,11.1373,123.7228,79.07,82,100,12.3,overcast clouds,0.0,0.0
149,Gezing,AT,2022-02-13 22:27:13,47.9178,13.1299,33.35,75,0,6.91,clear sky,0.0,0.0
150,Dikson,RU,2022-02-13 22:20:38,73.5069,80.5464,-4.67,87,100,24.74,overcast clouds,0.0,0.0
151,Port Hedland,AU,2022-02-13 22:21:57,-20.3167,118.5667,80.65,74,7,9.22,clear sky,0.0,0.0
152,Puerto Madryn,AR,2022-02-13 22:22:19,-42.7692,-65.0385,82.29,26,0,17.31,clear sky,0.0,0.0
153,Aljezur,PT,2022-02-13 22:27:14,37.3191,-8.8033,57.09,93,100,10.94,overcast clouds,0.0,0.0
154,Nha Trang,VN,2022-02-13 22:27:14,12.25,109.1833,75.2,89,84,4.83,broken clouds,0.0,0.0
155,Lagoa,PT,2022-02-13 22:18:23,39.05,-27.9833,56.57,59,85,4.94,overcast clouds,0.0,0.0
156,Qasigiannguit,GL,2022-02-13 22:27:14,68.8193,-51.1922,16.05,88,100,14.56,overcast clouds,0.0,0.0
157,Ambon,ID,2022-02-13 22:27:14,-3.6954,128.1814,77.14,88,40,4.61,scattered clouds,0.0,0.0
158,Mantenopolis,BR,2022-02-13 22:23:54,-18.8625,-41.1228,71.42,92,27,5.53,scattered clouds,0.0,0.0
159,Pisco,PE,2022-02-13 22:21:50,-13.7,-76.2167,73.45,64,0,20.71,clear sky,0.0,0.0
160,Nalut,LY,2022-02-13 22:26:06,30.3333,10.85,53.83,28,22,12.15,few clouds,0.0,0.0
161,Vila Franca Do Campo,PT,2022-02-13 22:21:20,37.7167,-25.4333,60.19,74,8,5.12,clear sky,0.0,0.0
162,Praia,CV,2022-02-13 22:27:15,14.9215,-23.5087,72.14,78,0,17.27,clear sky,0.0,0.0
163,Xuanwu,CN,2022-02-13 22:27:15,32.069,118.8138,31.95,65,100,3.42,overcast clouds,0.0,0.0
164,Galway,IE,2022-02-13 22:27:15,53.2719,-9.0489,39.15,83,71,9.1,broken clouds,0.0,0.0
165,Atambua,ID,2022-02-13 22:27:16,-9.1061,124.8925,72.46,89,52,2.77,broken clouds,0.0,0.0
166,Laguna,US,2022-02-13 22:20:40,38.421,-121.4238,80.44,37,0,1.99,clear sky,0.0,0.0
167,General Pico,AR,2022-02-13 22:27:16,-35.6566,-63.7568,75.51,37,0,7.07,clear sky,0.0,0.0
168,Comodoro Rivadavia,AR,2022-02-13 22:26:17,-45.8667,-67.5,67.86,64,20,18.41,few clouds,0.0,0.0
169,Quartucciu,IT,2022-02-13 22:27:16,39.2519,9.1794,51.01,79,0,1.14,clear sky,0.0,0.0
